OFFICE / BALLOT ISSUE,PARTY,COUNTY,CANDIDATE / BALLOT ISSUE TITLE,YES VOTES,YES PERCENT,NO VOTES,NO PERCENT
President/Vice President,Socialist Workers Party,SUMMIT,Alyson Kennedy / Osborne Hart,1,0.00%,,
President/Vice President,Socialist Workers Party,TELLER,Alyson Kennedy / Osborne Hart,3,0.00%,,
President/Vice President,Socialist Workers Party,WASHINGTON,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,WELD,Alyson Kennedy / Osborne Hart,20,0.00%,,
President/Vice President,Socialist Workers Party,YUMA,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,,Alyson Kennedy / Osborne Hart TOTAL,452,0.02%,,
President/Vice President,Independent American Party,ADAMS,Kyle Kenley Kopitke / Nathan R. Sorenson,145,0.01%,,
President/Vice President,Independent American Party,ALAMOSA,Kyle Kenley Kopitke / Nathan R. Sorenson,2,0.00%,,
President/Vice President,Independent American Party,ARAPAHOE,Kyle Kenley Kopitke / Nathan R. Sorenson,132,0.00%,,
President/Vice President,Independent American Party,ARCHULETA,Kyle Kenley Kopitke / Nathan R. Sorenson,2,0.00%,,
President/Vice President,Independent American Party,BACA,Kyle Kenley Kopitke / Nathan R. Sorenson,0,0.00%,,
President/Vice President,Independent American Party,BENT,Kyle Kenley Kopitke / Nathan R. Sorenson,0,0.00%,,
President/Vice President,Independent American Party,BOULDER,Kyle Kenley Kopitke / Nathan R. Sorenson,28,0.00%,,
President/Vice President,Independent American Party,BROOMFIELD,Kyle Kenley Kopitke / Nathan R. Sorenson,14,0.00%,,
President/Vice President,Independent American Party,CHAFFEE,Kyle Kenley Kopitke / Nathan R. Sorenson,2,0.00%,,
President/Vice President,Independent American Party,CHEYENNE,Kyle Kenley Kopitke / Nathan R. Sorenson,0,0.00%,,
President/Vice President,Independent American Party,CLEAR CREEK,Kyle Kenley Kopitke / Nathan R. Sorenson,0,0.00%,,
President/Vice President,Independent American Party,CONEJOS,Kyle Kenley Kopitke / Nathan R. Sorenson,0,0.00%,,
President/Vice President,Independent American Party,COSTILLA,Kyle Kenley Kopitke / Nathan R. Sorenson,1,0.00%,,
President/Vice President,Independent American Party,CROWLEY,Kyle Kenley Kopitke / Nathan R. Sorenson,2,0.00%,,
President/Vice President,Independent American Party,CUSTER,Kyle Kenley Kopitke / Nathan R. Sorenson,2,0.00%,,
President/Vice President,Independent American Party,DELTA,Kyle Kenley Kopitke / Nathan R. Sorenson,10,0.00%,,
President/Vice President,Independent American Party,DENVER,Kyle Kenley Kopitke / Nathan R. Sorenson,110,0.00%,,
President/Vice President,Independent American Party,DOLORES,Kyle Kenley Kopitke / Nathan R. Sorenson,0,0.00%,,
President/Vice President,Independent American Party,DOUGLAS,Kyle Kenley Kopitke / Nathan R. Sorenson,64,0.00%,,
President/Vice President,Independent American Party,EAGLE,Kyle Kenley Kopitke / Nathan R. Sorenson,6,0.00%,,
President/Vice President,Independent American Party,ELBERT,Kyle Kenley Kopitke / Nathan R. Sorenson,5,0.00%,,
President/Vice President,Independent American Party,EL PASO,Kyle Kenley Kopitke / Nathan R. Sorenson,126,0.00%,,
President/Vice President,Independent American Party,FREMONT,Kyle Kenley Kopitke / Nathan R. Sorenson,7,0.00%,,
President/Vice President,Independent American Party,GARFIELD,Kyle Kenley Kopitke / Nathan R. Sorenson,12,0.00%,,
President/Vice President,Independent American Party,GILPIN,Kyle Kenley Kopitke / Nathan R. Sorenson,0,0.00%,,
President/Vice President,Independent American Party,GRAND,Kyle Kenley Kopitke / Nathan R. Sorenson,2,0.00%,,
President/Vice President,Independent American Party,GUNNISON,Kyle Kenley Kopitke / Nathan R. Sorenson,2,0.00%,,
President/Vice President,Independent American Party,HINSDALE,Kyle Kenley Kopitke / Nathan R. Sorenson,1,0.00%,,
President/Vice President,Independent American Party,HUERFANO,Kyle Kenley Kopitke / Nathan R. Sorenson,1,0.00%,,
President/Vice President,Independent American Party,JACKSON,Kyle Kenley Kopitke / Nathan R. Sorenson,0,0.00%,,
President/Vice President,Independent American Party,JEFFERSON,Kyle Kenley Kopitke / Nathan R. Sorenson,134,0.00%,,
President/Vice President,Independent American Party,KIOWA,Kyle Kenley Kopitke / Nathan R. Sorenson,1,0.00%,,
President/Vice President,Independent American Party,KIT CARSON,Kyle Kenley Kopitke / Nathan R. Sorenson,4,0.00%,,
President/Vice President,Independent American Party,LAKE,Kyle Kenley Kopitke / Nathan R. Sorenson,1,0.00%,,
President/Vice President,Independent American Party,LA PLATA,Kyle Kenley Kopitke / Nathan R. Sorenson,8,0.00%,,
President/Vice President,Independent American Party,LARIMER,Kyle Kenley Kopitke / Nathan R. Sorenson,58,0.00%,,
President/Vice President,Independent American Party,LAS ANIMAS,Kyle Kenley Kopitke / Nathan R. Sorenson,4,0.00%,,
President/Vice President,Independent American Party,LINCOLN,Kyle Kenley Kopitke / Nathan R. Sorenson,0,0.00%,,
President/Vice President,Independent American Party,LOGAN,Kyle Kenley Kopitke / Nathan R. Sorenson,6,0.00%,,
President/Vice President,Independent American Party,MESA,Kyle Kenley Kopitke / Nathan R. Sorenson,40,0.00%,,
President/Vice President,Independent American Party,MINERAL,Kyle Kenley Kopitke / Nathan R. Sorenson,0,0.00%,,
President/Vice President,Independent American Party,MOFFAT,Kyle Kenley Kopitke / Nathan R. Sorenson,0,0.00%,,
President/Vice President,Independent American Party,MONTEZUMA,Kyle Kenley Kopitke / Nathan R. Sorenson,4,0.00%,,
President/Vice President,Independent American Party,MONTROSE,Kyle Kenley Kopitke / Nathan R. Sorenson,4,0.00%,,
President/Vice President,Independent American Party,MORGAN,Kyle Kenley Kopitke / Nathan R. Sorenson,8,0.00%,,
President/Vice President,Independent American Party,OTERO,Kyle Kenley Kopitke / Nathan R. Sorenson,6,0.00%,,
President/Vice President,Independent American Party,OURAY,Kyle Kenley Kopitke / Nathan R. Sorenson,0,0.00%,,
President/Vice President,Independent American Party,PARK,Kyle Kenley Kopitke / Nathan R. Sorenson,5,0.00%,,
President/Vice President,Independent American Party,PHILLIPS,Kyle Kenley Kopitke / Nathan R. Sorenson,2,0.00%,,
President/Vice President,Independent American Party,PITKIN,Kyle Kenley Kopitke / Nathan R. Sorenson,0,0.00%,,
President/Vice President,Independent American Party,PROWERS,Kyle Kenley Kopitke / Nathan R. Sorenson,4,0.00%,,
President/Vice President,Independent American Party,PUEBLO,Kyle Kenley Kopitke / Nathan R. Sorenson,24,0.00%,,
President/Vice President,Independent American Party,RIO BLANCO,Kyle Kenley Kopitke / Nathan R. Sorenson,1,0.00%,,
President/Vice President,Independent American Party,RIO GRANDE,Kyle Kenley Kopitke / Nathan R. Sorenson,4,0.00%,,
President/Vice President,Independent American Party,ROUTT,Kyle Kenley Kopitke / Nathan R. Sorenson,4,0.00%,,
President/Vice President,Independent American Party,SAGUACHE,Kyle Kenley Kopitke / Nathan R. Sorenson,2,0.00%,,
President/Vice President,Independent American Party,SAN JUAN,Kyle Kenley Kopitke / Nathan R. Sorenson,0,0.00%,,
President/Vice President,Independent American Party,SAN MIGUEL,Kyle Kenley Kopitke / Nathan R. Sorenson,0,0.00%,,
President/Vice President,Independent American Party,SEDGWICK,Kyle Kenley Kopitke / Nathan R. Sorenson,0,0.00%,,
President/Vice President,Independent American Party,SUMMIT,Kyle Kenley Kopitke / Nathan R. Sorenson,6,0.00%,,
President/Vice President,Independent American Party,TELLER,Kyle Kenley Kopitke / Nathan R. Sorenson,2,0.00%,,
President/Vice President,Independent American Party,WASHINGTON,Kyle Kenley Kopitke / Nathan R. Sorenson,1,0.00%,,
President/Vice President,Independent American Party,WELD,Kyle Kenley Kopitke / Nathan R. Sorenson,84,0.00%,,
President/Vice President,Independent American Party,YUMA,Kyle Kenley Kopitke / Nathan R. Sorenson,3,0.00%,,
President/Vice President,Independent American Party,,Kyle Kenley Kopitke / Nathan R. Sorenson TOTAL,"1,096",0.04%,,
President/Vice President,Kotlikoff for President,ADAMS,Laurence Kotlikoff / Edward Leamer,17,0.00%,,
President/Vice President,Kotlikoff for President,ALAMOSA,Laurence Kotlikoff / Edward Leamer,1,0.00%,,
President/Vice President,Kotlikoff for President,ARAPAHOE,Laurence Kotlikoff / Edward Leamer,50,0.00%,,
President/Vice President,Kotlikoff for President,ARCHULETA,Laurence Kotlikoff / Edward Leamer,3,0.00%,,
President/Vice President,Kotlikoff for President,BACA,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,BENT,Laurence Kotlikoff / Edward Leamer,1,0.00%,,
President/Vice President,Kotlikoff for President,BOULDER,Laurence Kotlikoff / Edward Leamer,30,0.00%,,
President/Vice President,Kotlikoff for President,BROOMFIELD,Laurence Kotlikoff / Edward Leamer,10,0.00%,,
President/Vice President,Kotlikoff for President,CHAFFEE,Laurence Kotlikoff / Edward Leamer,3,0.00%,,
President/Vice President,Kotlikoff for President,CHEYENNE,Laurence Kotlikoff / Edward Leamer,1,0.00%,,
President/Vice President,Kotlikoff for President,CLEAR CREEK,Laurence Kotlikoff / Edward Leamer,2,0.00%,,
President/Vice President,Kotlikoff for President,CONEJOS,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,COSTILLA,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,CROWLEY,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,CUSTER,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,DELTA,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,DENVER,Laurence Kotlikoff / Edward Leamer,43,0.00%,,
President/Vice President,Kotlikoff for President,DOLORES,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,DOUGLAS,Laurence Kotlikoff / Edward Leamer,29,0.00%,,
President/Vice President,Kotlikoff for President,EAGLE,Laurence Kotlikoff / Edward Leamer,6,0.00%,,
President/Vice President,Kotlikoff for President,ELBERT,Laurence Kotlikoff / Edward Leamer,1,0.00%,,
President/Vice President,Kotlikoff for President,EL PASO,Laurence Kotlikoff / Edward Leamer,51,0.00%,,
President/Vice President,Kotlikoff for President,FREMONT,Laurence Kotlikoff / Edward Leamer,3,0.00%,,
President/Vice President,Kotlikoff for President,GARFIELD,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,GILPIN,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,GRAND,Laurence Kotlikoff / Edward Leamer,1,0.00%,,
President/Vice President,Kotlikoff for President,GUNNISON,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,HINSDALE,Laurence Kotlikoff / Edward Leamer,1,0.00%,,
President/Vice President,Kotlikoff for President,HUERFANO,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,JACKSON,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,JEFFERSON,Laurence Kotlikoff / Edward Leamer,53,0.00%,,
President/Vice President,Kotlikoff for President,KIOWA,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,KIT CARSON,Laurence Kotlikoff / Edward Leamer,1,0.00%,,
President/Vice President,Kotlikoff for President,LAKE,Laurence Kotlikoff / Edward Leamer,1,0.00%,,
President/Vice President,Kotlikoff for President,LA PLATA,Laurence Kotlikoff / Edward Leamer,2,0.00%,,
President/Vice President,Kotlikoff for President,LARIMER,Laurence Kotlikoff / Edward Leamer,32,0.00%,,
President/Vice President,Kotlikoff for President,LAS ANIMAS,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,LINCOLN,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,LOGAN,Laurence Kotlikoff / Edward Leamer,1,0.00%,,
President/Vice President,Kotlikoff for President,MESA,Laurence Kotlikoff / Edward Leamer,9,0.00%,,
President/Vice President,Kotlikoff for President,MINERAL,Laurence Kotlikoff / Edward Leamer,1,0.00%,,
President/Vice President,Kotlikoff for President,MOFFAT,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,MONTEZUMA,Laurence Kotlikoff / Edward Leamer,3,0.00%,,
President/Vice President,Kotlikoff for President,MONTROSE,Laurence Kotlikoff / Edward Leamer,4,0.00%,,
President/Vice President,Kotlikoff for President,MORGAN,Laurence Kotlikoff / Edward Leamer,3,0.00%,,
President/Vice President,Kotlikoff for President,OTERO,Laurence Kotlikoff / Edward Leamer,1,0.00%,,
President/Vice President,Kotlikoff for President,OURAY,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,PARK,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,PHILLIPS,Laurence Kotlikoff / Edward Leamer,1,0.00%,,
President/Vice President,Kotlikoff for President,PITKIN,Laurence Kotlikoff / Edward Leamer,1,0.00%,,
President/Vice President,Kotlikoff for President,PROWERS,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,PUEBLO,Laurence Kotlikoff / Edward Leamer,6,0.00%,,
President/Vice President,Kotlikoff for President,RIO BLANCO,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,RIO GRANDE,Laurence Kotlikoff / Edward Leamer,2,0.00%,,
President/Vice President,Kotlikoff for President,ROUTT,Laurence Kotlikoff / Edward Leamer,3,0.00%,,
President/Vice President,Kotlikoff for President,SAGUACHE,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,SAN JUAN,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,SAN MIGUEL,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,SEDGWICK,Laurence Kotlikoff / Edward Leamer,1,0.00%,,
President/Vice President,Kotlikoff for President,SUMMIT,Laurence Kotlikoff / Edward Leamer,2,0.00%,,
President/Vice President,Kotlikoff for President,TELLER,Laurence Kotlikoff / Edward Leamer,1,0.00%,,
President/Vice President,Kotlikoff for President,WASHINGTON,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,WELD,Laurence Kotlikoff / Edward Leamer,11,0.00%,,
President/Vice President,Kotlikoff for President,YUMA,Laurence Kotlikoff / Edward Leamer,0,0.00%,,
President/Vice President,Kotlikoff for President,,Laurence Kotlikoff / Edward Leamer TOTAL,392,0.01%,,
President/Vice President,Socialism and Liberation,ADAMS,Gloria Estela La Riva / Dennis J. Banks,64,0.00%,,
President/Vice President,Socialism and Liberation,ALAMOSA,Gloria Estela La Riva / Dennis J. Banks,1,0.00%,,
President/Vice President,Socialism and Liberation,ARAPAHOE,Gloria Estela La Riva / Dennis J. Banks,43,0.00%,,
President/Vice President,Socialism and Liberation,ARCHULETA,Gloria Estela La Riva / Dennis J. Banks,0,0.00%,,
President/Vice President,Socialism and Liberation,BACA,Gloria Estela La Riva / Dennis J. Banks,0,0.00%,,
President/Vice President,Socialism and Liberation,BENT,Gloria Estela La Riva / Dennis J. Banks,0,0.00%,,
President/Vice President,Socialism and Liberation,BOULDER,Gloria Estela La Riva / Dennis J. Banks,30,0.00%,,
President/Vice President,Socialism and Liberation,BROOMFIELD,Gloria Estela La Riva / Dennis J. Banks,4,0.00%,,
President/Vice President,Socialism and Liberation,CHAFFEE,Gloria Estela La Riva / Dennis J. Banks,2,0.00%,,
President/Vice President,Socialism and Liberation,CHEYENNE,Gloria Estela La Riva / Dennis J. Banks,0,0.00%,,
President/Vice President,Socialism and Liberation,CLEAR CREEK,Gloria Estela La Riva / Dennis J. Banks,2,0.00%,,
President/Vice President,Socialism and Liberation,CONEJOS,Gloria Estela La Riva / Dennis J. Banks,2,0.00%,,
President/Vice President,Socialism and Liberation,COSTILLA,Gloria Estela La Riva / Dennis J. Banks,0,0.00%,,
President/Vice President,Socialism and Liberation,CROWLEY,Gloria Estela La Riva / Dennis J. Banks,0,0.00%,,
President/Vice President,Socialism and Liberation,CUSTER,Gloria Estela La Riva / Dennis J. Banks,1,0.00%,,
President/Vice President,Socialism and Liberation,DELTA,Gloria Estela La Riva / Dennis J. Banks,1,0.00%,,
President/Vice President,Socialism and Liberation,DENVER,Gloria Estela La Riva / Dennis J. Banks,75,0.00%,,
President/Vice President,Socialism and Liberation,DOLORES,Gloria Estela La Riva / Dennis J. Banks,1,0.00%,,
President/Vice President,Socialism and Liberation,DOUGLAS,Gloria Estela La Riva / Dennis J. Banks,10,0.00%,,
President/Vice President,Socialism and Liberation,EAGLE,Gloria Estela La Riva / Dennis J. Banks,7,0.00%,,
President/Vice President,Socialism and Liberation,ELBERT,Gloria Estela La Riva / Dennis J. Banks,1,0.00%,,
President/Vice President,Socialism and Liberation,EL PASO,Gloria Estela La Riva / Dennis J. Banks,58,0.00%,,
President/Vice President,Socialism and Liberation,FREMONT,Gloria Estela La Riva / Dennis J. Banks,7,0.00%,,
President/Vice President,Socialism and Liberation,GARFIELD,Gloria Estela La Riva / Dennis J. Banks,4,0.00%,,
President/Vice President,Socialism and Liberation,GILPIN,Gloria Estela La Riva / Dennis J. Banks,0,0.00%,,
President/Vice President,Socialism and Liberation,GRAND,Gloria Estela La Riva / Dennis J. Banks,0,0.00%,,
President/Vice President,Socialism and Liberation,GUNNISON,Gloria Estela La Riva / Dennis J. Banks,1,0.00%,,
President/Vice President,Socialism and Liberation,HINSDALE,Gloria Estela La Riva / Dennis J. Banks,1,0.00%,,
President/Vice President,Socialism and Liberation,HUERFANO,Gloria Estela La Riva / Dennis J. Banks,1,0.00%,,
President/Vice President,Socialism and Liberation,JACKSON,Gloria Estela La Riva / Dennis J. Banks,0,0.00%,,
President/Vice President,Socialism and Liberation,JEFFERSON,Gloria Estela La Riva / Dennis J. Banks,54,0.00%,,
President/Vice President,Socialism and Liberation,KIOWA,Gloria Estela La Riva / Dennis J. Banks,0,0.00%,,
President/Vice President,Socialism and Liberation,KIT CARSON,Gloria Estela La Riva / Dennis J. Banks,0,0.00%,,
President/Vice President,Socialism and Liberation,LAKE,Gloria Estela La Riva / Dennis J. Banks,0,0.00%,,
President/Vice President,Socialism and Liberation,LA PLATA,Gloria Estela La Riva / Dennis J. Banks,7,0.00%,,
President/Vice President,Socialism and Liberation,LARIMER,Gloria Estela La Riva / Dennis J. Banks,35,0.00%,,
President/Vice President,Socialism and Liberation,LAS ANIMAS,Gloria Estela La Riva / Dennis J. Banks,1,0.00%,,
President/Vice President,Socialism and Liberation,LINCOLN,Gloria Estela La Riva / Dennis J. Banks,1,0.00%,,
President/Vice President,Socialism and Liberation,LOGAN,Gloria Estela La Riva / Dennis J. Banks,2,0.00%,,
President/Vice President,Socialism and Liberation,MESA,Gloria Estela La Riva / Dennis J. Banks,10,0.00%,,
President/Vice President,Socialism and Liberation,MINERAL,Gloria Estela La Riva / Dennis J. Banks,1,0.00%,,
President/Vice President,Socialism and Liberation,MOFFAT,Gloria Estela La Riva / Dennis J. Banks,0,0.00%,,
President/Vice President,Socialism and Liberation,MONTEZUMA,Gloria Estela La Riva / Dennis J. Banks,1,0.00%,,
President/Vice President,Socialism and Liberation,MONTROSE,Gloria Estela La Riva / Dennis J. Banks,3,0.00%,,
President/Vice President,Socialism and Liberation,MORGAN,Gloria Estela La Riva / Dennis J. Banks,4,0.00%,,
President/Vice President,Socialism and Liberation,OTERO,Gloria Estela La Riva / Dennis J. Banks,1,0.00%,,
President/Vice President,Socialism and Liberation,OURAY,Gloria Estela La Riva / Dennis J. Banks,1,0.00%,,
President/Vice President,Socialism and Liberation,PARK,Gloria Estela La Riva / Dennis J. Banks,1,0.00%,,
President/Vice President,Socialism and Liberation,PHILLIPS,Gloria Estela La Riva / Dennis J. Banks,0,0.00%,,
President/Vice President,Socialism and Liberation,PITKIN,Gloria Estela La Riva / Dennis J. Banks,0,0.00%,,
President/Vice President,Socialism and Liberation,PROWERS,Gloria Estela La Riva / Dennis J. Banks,0,0.00%,,
President/Vice President,Socialism and Liberation,PUEBLO,Gloria Estela La Riva / Dennis J. Banks,51,0.00%,,
President/Vice President,Socialism and Liberation,RIO BLANCO,Gloria Estela La Riva / Dennis J. Banks,0,0.00%,,
President/Vice President,Socialism and Liberation,RIO GRANDE,Gloria Estela La Riva / Dennis J. Banks,3,0.00%,,
President/Vice President,Socialism and Liberation,ROUTT,Gloria Estela La Riva / Dennis J. Banks,4,0.00%,,
President/Vice President,Socialism and Liberation,SAGUACHE,Gloria Estela La Riva / Dennis J. Banks,0,0.00%,,
President/Vice President,Socialism and Liberation,SAN JUAN,Gloria Estela La Riva / Dennis J. Banks,0,0.00%,,
President/Vice President,Socialism and Liberation,SAN MIGUEL,Gloria Estela La Riva / Dennis J. Banks,0,0.00%,,
President/Vice President,Socialism and Liberation,SEDGWICK,Gloria Estela La Riva / Dennis J. Banks,0,0.00%,,
President/Vice President,Socialism and Liberation,SUMMIT,Gloria Estela La Riva / Dennis J. Banks,3,0.00%,,
President/Vice President,Socialism and Liberation,TELLER,Gloria Estela La Riva / Dennis J. Banks,2,0.00%,,
President/Vice President,Socialism and Liberation,WASHINGTON,Gloria Estela La Riva / Dennis J. Banks,0,0.00%,,
President/Vice President,Socialism and Liberation,WELD,Gloria Estela La Riva / Dennis J. Banks,30,0.00%,,
President/Vice President,Socialism and Liberation,YUMA,Gloria Estela La Riva / Dennis J. Banks,0,0.00%,,
President/Vice President,Socialism and Liberation,,Gloria Estela La Riva / Dennis J. Banks TOTAL,531,0.02%,,
President/Vice President,Nonviolent Resistance/Pacifist,ADAMS,Bradford Lyttle / Hannah Walsh,31,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,ALAMOSA,Bradford Lyttle / Hannah Walsh,1,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,ARAPAHOE,Bradford Lyttle / Hannah Walsh,47,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,ARCHULETA,Bradford Lyttle / Hannah Walsh,4,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,BACA,Bradford Lyttle / Hannah Walsh,0,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,BENT,Bradford Lyttle / Hannah Walsh,0,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,BOULDER,Bradford Lyttle / Hannah Walsh,23,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,BROOMFIELD,Bradford Lyttle / Hannah Walsh,10,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,CHAFFEE,Bradford Lyttle / Hannah Walsh,3,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,CHEYENNE,Bradford Lyttle / Hannah Walsh,0,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,CLEAR CREEK,Bradford Lyttle / Hannah Walsh,0,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,CONEJOS,Bradford Lyttle / Hannah Walsh,0,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,COSTILLA,Bradford Lyttle / Hannah Walsh,3,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,CROWLEY,Bradford Lyttle / Hannah Walsh,0,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,CUSTER,Bradford Lyttle / Hannah Walsh,0,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,DELTA,Bradford Lyttle / Hannah Walsh,1,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,DENVER,Bradford Lyttle / Hannah Walsh,45,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,DOLORES,Bradford Lyttle / Hannah Walsh,1,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,DOUGLAS,Bradford Lyttle / Hannah Walsh,13,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,EAGLE,Bradford Lyttle / Hannah Walsh,1,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,ELBERT,Bradford Lyttle / Hannah Walsh,1,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,EL PASO,Bradford Lyttle / Hannah Walsh,52,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,FREMONT,Bradford Lyttle / Hannah Walsh,2,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,GARFIELD,Bradford Lyttle / Hannah Walsh,5,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,GILPIN,Bradford Lyttle / Hannah Walsh,0,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,GRAND,Bradford Lyttle / Hannah Walsh,1,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,GUNNISON,Bradford Lyttle / Hannah Walsh,2,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,HINSDALE,Bradford Lyttle / Hannah Walsh,0,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,HUERFANO,Bradford Lyttle / Hannah Walsh,0,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,JACKSON,Bradford Lyttle / Hannah Walsh,0,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,JEFFERSON,Bradford Lyttle / Hannah Walsh,53,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,KIOWA,Bradford Lyttle / Hannah Walsh,0,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,KIT CARSON,Bradford Lyttle / Hannah Walsh,0,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,LAKE,Bradford Lyttle / Hannah Walsh,0,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,LA PLATA,Bradford Lyttle / Hannah Walsh,2,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,LARIMER,Bradford Lyttle / Hannah Walsh,29,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,LAS ANIMAS,Bradford Lyttle / Hannah Walsh,1,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,LINCOLN,Bradford Lyttle / Hannah Walsh,0,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,LOGAN,Bradford Lyttle / Hannah Walsh,0,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,MESA,Bradford Lyttle / Hannah Walsh,4,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,MINERAL,Bradford Lyttle / Hannah Walsh,0,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,MOFFAT,Bradford Lyttle / Hannah Walsh,0,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,MONTEZUMA,Bradford Lyttle / Hannah Walsh,0,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,MONTROSE,Bradford Lyttle / Hannah Walsh,3,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,MORGAN,Bradford Lyttle / Hannah Walsh,1,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,OTERO,Bradford Lyttle / Hannah Walsh,0,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,OURAY,Bradford Lyttle / Hannah Walsh,0,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,PARK,Bradford Lyttle / Hannah Walsh,1,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,PHILLIPS,Bradford Lyttle / Hannah Walsh,0,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,PITKIN,Bradford Lyttle / Hannah Walsh,3,0.00%,,
President/Vice President,Nonviolent Resistance/Pacifist,PROWERS,Bradford Lyttle / Hannah Walsh,1,0.00%,,
